Time stamp	Event	Event Data
11:26:52 02/03/2017	Ask to Connect the Laser	
11:26:52 02/03/2017	Connected	
11:27:52 02/03/2017	Laser Ctrl Initialised	True
11:27:56 02/03/2017	Ask to Connect the Laser	
11:27:56 02/03/2017	Connected	
11:30:06 02/03/2017	Laser Ctrl Initialised	True
11:31:32 02/03/2017	Laser Ctrl Initialised	True
11:33:01 02/03/2017	Laser Ctrl Initialised	True
11:33:43 02/03/2017	Laser Ctrl Initialised	True
11:55:27 02/03/2017	Laser Ctrl Initialised	True
11:55:33 02/03/2017	Ask to Connect the Laser	
11:55:33 02/03/2017	Connected	
13:23:47 02/03/2017	Laser Ctrl Initialised	True
16:31:33 07/03/2017	Laser Ctrl Initialised	True
16:31:39 07/03/2017	Ask to Connect the Laser	
16:31:39 07/03/2017	Connected	
16:31:43 07/03/2017	Ask the switch on the Laser	
16:31:43 07/03/2017	Laser activated	
16:31:44 07/03/2017	Ask to switch OFF the laser	
16:31:44 07/03/2017	Laser disactivated	
16:31:49 07/03/2017	Ask to Set Laser Amp. Freq	100
16:31:49 07/03/2017	Laser Amp. Freq Set	
16:32:00 07/03/2017	Ask to Set PulsePicker	120
16:32:00 07/03/2017	Pulse Picker Set	
17:01:20 07/03/2017	Laser Ctrl Initialised	True
17:01:24 07/03/2017	Ask to Connect the Laser	
17:01:24 07/03/2017	Connected	
17:02:09 07/03/2017	Laser Ctrl Initialised	True
17:02:18 07/03/2017	Ask to Connect the Laser	
17:02:23 07/03/2017	Connected	
17:05:46 07/03/2017	Laser Ctrl Initialised	True
17:05:51 07/03/2017	Ask to Connect the Laser	
17:05:51 07/03/2017	Connected	
17:06:06 07/03/2017	Laser Ctrl Initialised	True
17:06:12 07/03/2017	Ask to Connect the Laser	
17:06:12 07/03/2017	Connected	
17:06:15 07/03/2017	Ask the switch on the Laser	
17:06:15 07/03/2017	Laser activated	
17:06:16 07/03/2017	Ask to switch OFF the laser	
17:06:16 07/03/2017	Laser disactivated	
17:06:20 07/03/2017	Ask to Set Laser Amp. Freq	200
17:06:20 07/03/2017	Laser Amp. Freq Set	
17:06:25 07/03/2017	Ask to Set PulsePicker	300
17:06:25 07/03/2017	Pulse Picker Set	
16:12:22 09/03/2017	Laser Ctrl Initialised	True
13:25:17 18/12/2017	Laser Ctrl Initialised	True
15:25:13 18/12/2017	Laser Ctrl Initialised	True
14:17:43 20/12/2017	Laser Ctrl Initialised	True
